instance_id,resolution_status,resolved,f2p,p2p,repo
django__django-11790,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11815,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11820,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11848,RESOLVED_FULL,TRUE,2/2,43/43,django
django__django-11880,RESOLVED_FULL,TRUE,1/1,114/114,django
django__django-11885,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11951,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11964,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11999,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12039,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12050,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12125,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12143,RESOLVED_FULL,TRUE,1/1,52/52,django
django__django-12193,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12209,RESOLVED_FULL,TRUE,1/1,0/0,django
django__django-12262,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12273,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12276,RESOLVED_FULL,TRUE,2/2,117/117,django
django__django-12304,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12308,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12406,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12419,RESOLVED_FULL,TRUE,1/1,0/0,django
django__django-12663,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12708,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12713,RESOLVED_FULL,TRUE,1/1,58/58,django
django__django-12741,RESOLVED_FULL,TRUE,2/2,67/67,django
django__django-12754,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12774,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12858,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12965,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13012,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13023,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13028,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13033,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13089,RESOLVED_FULL,TRUE,2/2,352/352,django
django__django-13109,RESOLVED_FULL,TRUE,2/2,170/170,django
django__django-13121,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13128,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13158,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13195,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13212,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13279,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13315,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13343,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13346,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13363,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13401,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13406,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13410,RESOLVED_FULL,TRUE,2/2,40/40,django
django__django-13417,RESOLVED_FULL,TRUE,2/2,280/280,django
django__django-13449,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13512,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13513,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13516,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13551,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13569,RESOLVED_FULL,TRUE,1/1,66/66,django
django__django-13590,RESOLVED_FULL,TRUE,1/1,145/145,django
django__django-13658,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13670,RESOLVED_FULL,TRUE,1/1,17/17,django
django__django-13741,RESOLVED_FULL,TRUE,1/1,82/82,django
django__django-13786,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13794,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13807,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13809,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13810,RESOLVED_FULL,TRUE,1/1,30/30,django
django__django-13820,RESOLVED_FULL,TRUE,1/1,24/24,django
django__django-13821,RESOLVED_FULL,TRUE,1/1,14/14,django
django__django-13837,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13925,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13933,RESOLVED_FULL,TRUE,1/1,19/19,django
django__django-13964,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14007,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14011,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14017,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14034,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14053,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14122,RESOLVED_FULL,TRUE,1/1,26/26,django
django__django-14140,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14155,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14170,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14238,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14311,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14315,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14349,RESOLVED_FULL,TRUE,1/1,18/18,django
django__django-14351,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14373,RESOLVED_FULL,TRUE,1/1,19/19,django
django__django-14376,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14404,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14434,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14493,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14500,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14534,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14539,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14559,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14580,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14608,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14631,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14672,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14725,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14752,RESOLVED_FULL,TRUE,1/1,15/15,django
django__django-14765,RESOLVED_FULL,TRUE,1/1,64/64,django
django__django-14771,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14792,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14855,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14915,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14999,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15022,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15037,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15098,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15104,RESOLVED_FULL,TRUE,1/1,131/131,django
django__django-15127,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15128,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15161,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15252,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15268,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15277,RESOLVED_FULL,TRUE,2/2,158/158,django
django__django-15278,RESOLVED_FULL,TRUE,1/1,138/138,django
django__django-15280,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15315,RESOLVED_FULL,TRUE,1/1,33/33,django
django__django-15368,RESOLVED_FULL,TRUE,1/1,29/29,django
django__django-15375,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15380,RESOLVED_FULL,TRUE,1/1,133/133,django
django__django-15382,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15467,RESOLVED_FULL,TRUE,1/1,62/62,django
django__django-15503,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15525,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15554,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15561,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15563,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15569,RESOLVED_FULL,TRUE,2/2,242/242,django
django__django-15572,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15629,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15695,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15731,RESOLVED_FULL,TRUE,1/1,58/58,django
django__django-15732,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15741,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15851,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15863,RESOLVED_FULL,TRUE,1/1,9/9,django
django__django-15916,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15930,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15957,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15987,RESOLVED_FULL,TRUE,1/1,52/52,django
django__django-16032,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16082,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16100,RESOLVED_FULL,TRUE,1/1,59/59,django
django__django-16116,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16139,RESOLVED_FULL,TRUE,1/1,86/86,django
django__django-16145,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16255,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16256,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16263,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16315,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16333,RESOLVED_FULL,TRUE,1/1,87/87,django
django__django-16429,RESOLVED_FULL,TRUE,4/4,21/21,django
django__django-16454,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16485,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16493,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16502,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16527,RESOLVED_FULL,TRUE,1/1,6/6,django
django__django-16569,RESOLVED_FULL,TRUE,2/2,111/111,django
django__django-16595,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16612,RESOLVED_FULL,TRUE,2/2,335/335,django
django__django-16631,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16642,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16661,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16662,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16667,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16801,RESOLVED_FULL,TRUE,1/1,17/17,django
django__django-16819,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16877,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16899,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16901,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16938,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16950,TASK_FAILED,FALSE,N/A,N/A,django
django__django-17029,RESOLVED_FULL,TRUE,1/1,43/43,django
django__django-17084,TASK_FAILED,FALSE,N/A,N/A,django
django__django-7530,TASK_FAILED,FALSE,N/A,N/A,django
matplotlib__matplotlib-14623,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-20488,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-20676,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-20859,RESOLVED_FULL,TRUE,1/1,88/88,matplotlib
matplotlib__matplotlib-21568,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-22719,RESOLVED_FULL,TRUE,1/1,68/68,matplotlib
matplotlib__matplotlib-22865,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-22871,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-24637,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-24870,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-24970,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-25122,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-25287,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-25311,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-25332,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-25479,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-25775,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-25960,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-26113,RESOLVED_FULL,TRUE,1/1,812/812,matplotlib
matplotlib__matplotlib-26208,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-26291,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-26342,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-26466,TASK_FAILED,FALSE,N/A,N/A,matplotlib
mwaskom__seaborn-3069,NO_TASK,FALSE,N/A,N/A,mwaskom
mwaskom__seaborn-3187,NO_TASK,FALSE,N/A,N/A,mwaskom
pallets__flask-5014,NO_TASK,FALSE,N/A,N/A,pallets
psf__requests-1142,NO_TASK,FALSE,N/A,N/A,psf
psf__requests-1724,NO_TASK,FALSE,N/A,N/A,psf
psf__requests-1766,NO_TASK,FALSE,N/A,N/A,psf
psf__requests-1921,NO_TASK,FALSE,N/A,N/A,psf
psf__requests-2317,NO_TASK,FALSE,N/A,N/A,psf
psf__requests-2931,NO_TASK,FALSE,N/A,N/A,psf
psf__requests-5414,NO_TASK,FALSE,N/A,N/A,psf
psf__requests-6028,NO_TASK,FALSE,N/A,N/A,psf
pydata__xarray-2905,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-3095,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-3151,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-3305,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-3993,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-4075,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-4094,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-4356,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-4629,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-4695,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-4966,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-6461,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-6599,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-6721,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-6744,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-6938,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-6992,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-7229,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-7233,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-7393,NO_TASK,FALSE,N/A,N/A,pydata
pylint-dev__pylint-4551,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-4604,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-4661,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-4970,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-6386,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-6528,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-6903,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-7080,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-7277,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-8898,NO_TASK,FALSE,N/A,N/A,pylint-dev
pytest-dev__pytest-10051,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-10081,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-10356,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-5262,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-5631,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-5787,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-5809,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-5840,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-6202,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7205,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7236,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7324,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7432,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7490,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7521,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7571,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7982,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-8399,NO_TASK,FALSE,N/A,N/A,pytest-dev
scikit-learn__scikit-learn-10297,RESOLVED_FULL,TRUE,1/1,28/28,scikit-learn
scikit-learn__scikit-learn-10844,RESOLVED_FULL,TRUE,1/1,16/16,scikit-learn
scikit-learn__scikit-learn-10908,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-11310,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-11578,RESOLVED_FULL,TRUE,1/1,93/93,scikit-learn
scikit-learn__scikit-learn-12585,RESOLVED_FULL,TRUE,1/1,22/22,scikit-learn
scikit-learn__scikit-learn-12682,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-12973,RESOLVED_FULL,TRUE,1/1,32/32,scikit-learn
scikit-learn__scikit-learn-13124,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-13135,RESOLVED_FULL,TRUE,1/1,33/33,scikit-learn
scikit-learn__scikit-learn-13142,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-13328,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-13439,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-13496,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-13779,RESOLVED_FULL,TRUE,2/2,18/18,scikit-learn
scikit-learn__scikit-learn-14053,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-14087,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-14141,RESOLVED_FULL,TRUE,1/1,2/2,scikit-learn
scikit-learn__scikit-learn-14496,RESOLVED_FULL,TRUE,1/1,39/39,scikit-learn
scikit-learn__scikit-learn-14629,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-14710,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-14894,RESOLVED_FULL,TRUE,1/1,85/85,scikit-learn
scikit-learn__scikit-learn-14983,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-15100,RESOLVED_FULL,TRUE,1/1,93/93,scikit-learn
scikit-learn__scikit-learn-25102,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-25232,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-25747,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-25931,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-25973,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-26194,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-26323,RESOLVED_FULL,TRUE,1/1,188/188,scikit-learn
scikit-learn__scikit-learn-9288,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
sphinx-doc__sphinx-10323,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-10435,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-10449,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-10466,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-10673,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-11445,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-11510,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-7454,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-7462,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-7590,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-7748,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-7757,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-7889,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-7910,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-7985,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8035,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8056,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8120,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8265,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8269,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8459,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8475,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8548,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8551,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8593,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8595,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8621,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8638,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8721,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9229,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9230,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9258,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9281,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9320,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9367,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9461,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9591,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9602,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9658,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9673,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9698,NO_TASK,FALSE,N/A,N/A,sphinx-doc
